id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1448967015255916545,1448967015255916545,2021-10-15 04:00:31 PDT,2021-10-15,04:00:31,-0700,18267548,atlanticcouncil,Atlantic Council,,"""Now is the time for Congress and the executive branch to collaborate with one another and take the steps necessary to help manage the risk to the maritime sector.""  @SenAngusKing and @RepGallagher on maritime cybersecurity and new @CyberStatecraft report  https://t.co/lat4ZkvSrI",en,"[{'screen_name': 'senangusking', 'name': 'senator angus king', 'id': '1068481578'}, {'screen_name': 'repgallagher', 'name': 'rep. gallagher press office', 'id': '815966620300480514'}, {'screen_name': 'cyberstatecraft', 'name': 'cyber statecraft', 'id': '956908335583948801'}]",['https://bit.ly/3DvqWPn'],[],10,0,8,[],[],https://twitter.com/AtlanticCouncil/status/1448967015255916545,False,,0,,,,,,,,[],,,,
1439941790283542534,1439941790283542534,2021-09-20 06:17:30 PDT,2021-09-20,06:17:30,-0700,18267548,atlanticcouncil,Atlantic Council,,How can undersea cables cause national security risks for the United States and its allies? The latest @CyberStatecraft report explains their importance and outlines a path forward for increased undersea cable cybersecurity.  https://t.co/wJhIVrpEoR,en,"[{'screen_name': 'cyberstatecraft', 'name': 'cyber statecraft', 'id': '956908335583948801'}]",['https://www.atlanticcouncil.org/in-depth-research-reports/report/cyber-defense-across-the-ocean-floor-the-geopolitics-of-submarine-cable-security/'],[],1,5,9,[],[],https://twitter.com/AtlanticCouncil/status/1439941790283542534,False,,0,,,,,,,,[],,,,
1438619704592150533,1438619704592150533,2021-09-16 14:44:00 PDT,2021-09-16,14:44:00,-0700,18267548,atlanticcouncil,Atlantic Council,,"As the White House increasingly focuses on cybersecurity threats, it must prioritize investing in the security and resilience of the physical infrastructure that underpins Internet communication worldwide.  https://t.co/wJhIVrpEoR",en,[],['https://www.atlanticcouncil.org/in-depth-research-reports/report/cyber-defense-across-the-ocean-floor-the-geopolitics-of-submarine-cable-security/'],[],0,5,10,[],[],https://twitter.com/AtlanticCouncil/status/1438619704592150533,False,,0,,,,,,,,[],,,,
1422242808526741515,1422242808526741515,2021-08-02 10:08:04 PDT,2021-08-02,10:08:04,-0700,18267548,atlanticcouncil,Atlantic Council,,"🗓️ Today at 2:30PM ET| @CyberSolarium, @ACGeoTech, and @CyberStatecraft host ""Building the picture bit-by-bit: Why the US needs a Bureau of Cyber Statistics."" Join five expert panelists for a discussion on the future of #cybersecurity governance. 👇   https://t.co/Mvvs2Ua8vT",en,"[{'screen_name': 'cybersolarium', 'name': 'cyberspace solarium commission', 'id': '1095714331730284552'}, {'screen_name': 'acgeotech', 'name': 'geotech center, atlantic council', 'id': '1221953578111242240'}, {'screen_name': 'cyberstatecraft', 'name': 'cyber statecraft', 'id': '956908335583948801'}]",['https://bit.ly/3zJy0pz'],[],0,4,5,['cybersecurity'],[],https://twitter.com/AtlanticCouncil/status/1422242808526741515,False,,0,,,,,,,,[],,,,
1402642911452450817,1402642911452450817,2021-06-09 08:05:04 PDT,2021-06-09,08:05:04,-0700,18267548,atlanticcouncil,Atlantic Council,,"The upcoming #NATOSummit needs to address the alliance’s role in the #IndoPacific, esp. for deterrence against China in the region &amp; increasing cybersecurity resilience. Distinguished Fellow Franklin Kramer explains why in his piece in @TheNatlInterest.    https://t.co/qojolHKmuo",en,"[{'screen_name': 'thenatlinterest', 'name': 'national interest', 'id': '152311372'}]",['https://bit.ly/2T0Lv4l'],[],0,3,10,"['natosummit', 'indopacific']",[],https://twitter.com/AtlanticCouncil/status/1402642911452450817,False,,0,,,,,,,,[],,,,
1397594062065123329,1397582966247747584,2021-05-26 09:42:45 PDT,2021-05-26,09:42:45,-0700,18267548,atlanticcouncil,Atlantic Council,,"""Right now is the time to act to create that cybersecurity governance that is required.""  👤|@teresacarlson, @ACGeoTech Commission Co-Chair  https://t.co/deBE7VeCsl",en,"[{'screen_name': 'teresacarlson', 'name': 'teresa carlson', 'id': '20551324'}, {'screen_name': 'acgeotech', 'name': 'geotech center, atlantic council', 'id': '1221953578111242240'}]",[],[],1,2,8,[],[],https://twitter.com/AtlanticCouncil/status/1397594062065123329,False,,1,https://pbs.twimg.com/amplify_video_thumb/1397593838252957702/img/Uins7GwFMOqiGBRu.jpg,,,,,,,[],,,,
1395786595073208320,1395786595073208320,2021-05-21 10:00:31 PDT,2021-05-21,10:00:31,-0700,18267548,atlanticcouncil,Atlantic Council,,"The only credible cyber superpower is a robust alliance. But working as one across hundreds of law enforcement and intel agencies is easier said than done.   Read ""Alliance Power for Cybersecurity"" by @KennethGeers so you’re ready for the #NATOSummit.    https://t.co/cTdrF2qeAL",en,"[{'screen_name': 'kennethgeers', 'name': 'kenneth geers', 'id': '375955193'}]",['https://bit.ly/3gCzdG0'],[],1,6,9,['natosummit'],[],https://twitter.com/AtlanticCouncil/status/1395786595073208320,False,,0,,,,,,,,[],,,,
1395770289955479558,1395770289955479558,2021-05-21 08:55:43 PDT,2021-05-21,08:55:43,-0700,18267548,atlanticcouncil,Atlantic Council,,Check out our latest #ACCyber expert markup of the new cybersecurity executive order ⤵️  https://t.co/CPv0O1lMjp,en,[],['https://bit.ly/2T8SRTl'],[],0,1,6,['accyber'],[],https://twitter.com/AtlanticCouncil/status/1395770289955479558,False,,0,,,,,,,,[],,,,
1395469515690061829,1395469515690061829,2021-05-20 13:00:33 PDT,2021-05-20,13:00:33,-0700,18267548,atlanticcouncil,Atlantic Council,,Have you read President Biden's new executive order on cybersecurity yet?  Read it along with Atlantic Council experts and friends as they mark it up with their thoughts on what it means for the government and private sector. #ACcyber  https://t.co/CPv0O1lMjp,en,[],['https://bit.ly/2T8SRTl'],[],0,0,5,['accyber'],[],https://twitter.com/AtlanticCouncil/status/1395469515690061829,False,,0,,,,,,,,[],,,,
1395099491892666375,1395099491892666375,2021-05-19 12:30:13 PDT,2021-05-19,12:30:13,-0700,18267548,atlanticcouncil,Atlantic Council,,"If your idea of cybersecurity is a tough alphanumeric password, this article is for you. Brush up on your cyber skills here and what @NATO should consider as it discusses how to modernize its cyber defense at the next #NATOSummit.    https://t.co/0DHe4gIPAJ",en,"[{'screen_name': 'nato', 'name': 'nato', 'id': '83795099'}]",['https://bit.ly/2OzlcQX'],[],0,3,5,['natosummit'],[],https://twitter.com/AtlanticCouncil/status/1395099491892666375,False,,0,,,,,,,,[],,,,
